"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
5.03685931578745e-56,-0.584182289968632,0.276,0.408,5.46499235762939e-52,"FCHSD2"
1.38453030120981e-34,-0.587246781977623,0.183,0.272,1.50221537681265e-30,"GRIA4"
1.53750474594853e-40,-0.592064401107487,0.167,0.265,1.66819264935416e-36,"SBF2"
1.05017901531678e-45,-0.598688310055402,0.238,0.35,1.1394442316187e-41,"GRM3"
1.23058920423623e-49,-0.599257269498552,0.198,0.314,1.33518928659631e-45,"USP39"
3.79456083661054e-50,-0.601703099549101,0.201,0.318,4.11709850772244e-46,"MAGI1"
2.39529797475647e-34,-0.61590426082854,0.277,0.37,2.59889830261077e-30,"NOVA1"
5.0717781954595e-90,-0.626633597942354,0.313,0.491,5.50287934207356e-86,"FTX"
4.8963644525843e-78,-0.629943650865221,0.362,0.523,5.31255543105396e-74,"CADM1"
6.02820829380942e-31,-0.632470676865405,0.329,0.429,6.54060599878322e-27,"CNTNAP2"
1.2664855102484e-161,-0.636199864040371,0.543,0.766,1.37413677861951e-157,"ZBTB20"
2.83940912577503e-137,-0.638929649241966,0.596,0.789,3.0807589014659e-133,"PPP2R2B"
1.86912285190766e-71,-0.63974231075721,0.368,0.531,2.02799829431981e-67,"DOCK4"
9.11454354984479e-62,-0.640424871481766,0.232,0.367,9.88927975158159e-58,"CIRBP"
1.25839460167422e-91,-0.641271081769806,0.372,0.55,1.36535814281653e-87,"AUTS2"
7.50430396580777e-67,-0.641304727512797,0.219,0.361,8.14216980290143e-63,"MBD5"
6.94891249776513e-96,-0.648544786361323,0.347,0.529,7.53957006007516e-92,"NFIA"
8.86521710715155e-65,-0.658863069261717,0.224,0.361,9.61876056125943e-61,"PARK2"
1.01597057963077e-31,-0.659581510257492,0.188,0.27,1.10232807889939e-27,"AK5"
4.73597678994749e-56,-0.668869233030003,0.195,0.316,5.13853481709303e-52,"FYN"
1.64514128092742e-47,-0.668901622734459,0.151,0.255,1.78497828980625e-43,"PON2"
2.98849003685843e-43,-0.669802363373562,0.156,0.255,3.24251168999139e-39,"NBEA"
3.52949562377578e-119,-0.670068863585174,0.498,0.673,3.82950275179672e-115,"ADGRB3"
2.92756167604479e-86,-0.670514546247752,0.303,0.473,3.1764044185086e-82,"FBXL7"
1.69722681156159e-32,-0.672340919262365,0.315,0.397,1.84149109054433e-28,"MIR219A2"
4.20800088315854e-56,-0.67820376081809,0.182,0.302,4.56568095822701e-52,"CAMTA1"
9.06975446654432e-61,-0.678902688773649,0.197,0.325,9.84068359620059e-57,"PPP1R9A"
2.28037087714081e-59,-0.682341133776969,0.215,0.343,2.47420240169778e-55,"ASTN2"
5.15221691739524e-44,-0.683452895479891,0.154,0.252,5.59015535537383e-40,"CPEB4"
7.66153505566649e-59,-0.702026152898827,0.184,0.307,8.31276553539814e-55,"TRIM9"
2.73725520102681e-75,-0.704510853157936,0.38,0.523,2.96992189311408e-71,"ANKS1B"
3.04292507512503e-46,-0.708164952443743,0.154,0.255,3.30157370651066e-42,"NEGR1"
7.28093272383094e-78,-0.710840942697117,0.228,0.38,7.89981200535657e-74,"CHD9"
